# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: WMC
# Property: https://www.neothink.com/
# ----------------------------------------
# 
# All Users
# Start date: 20240925
# End date: 20250925
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/,2145,23154,0.09264058046125939,3.9701995335579165,1673,2060,1,117.73161984459055,14212,4947,0
/neothink-university/,586,17646,0.03320865918621784,2.9649778986739204,350,505,1,222.27142857142857,3546,1280,0
/about/,407,17060,0.023856975381008207,3.6021101992966003,319,389,1,130.07523510971788,2120,726,0
/about-neothink/,199,10779,0.018461823916875404,3.2250672604137676,134,150,1,140.17164179104478,961,333,0
/free-courses/,122,5329,0.022893601050853817,4.441546256333271,130,178,1,161.8230769230769,1042,398,0
/about-us/,110,7231,0.015212280459134283,4.100815931406444,113,141,1,140.99115044247787,910,343,0
/faq/,107,6576,0.016271289537712896,4.974148418491485,67,75,1,155.1044776119403,441,138,0
/the-movement/,79,1877,0.04208843899840171,7.6909962706446455,34,46,1,150.14705882352942,381,151,0
/immortalis/,75,6494,0.01154912226670773,4.253002771789344,53,68,1,171.9056603773585,395,135,0
/podcast/,69,10328,0.006680867544539117,4.000290472501936,47,76,1,310.8510638297872,501,175,0
/the-prime-law/,69,3125,0.02208,4.03936,61,110,1,115.65573770491804,426,156,0
/twelve-visions-party/,66,671,0.09836065573770492,9.69150521609538,76,84,1,90.52631578947368,454,146,0
/contact/,60,1951,0.030753459764223477,10.907227063044592,50,63,1,256.54,437,151,0
/our-mission/,26,1791,0.014517029592406477,6.010608598548297,28,30,1,116,288,120,0
/project-life/,25,1062,0.023540489642184557,5.206214689265536,41,41,1,185.0731707317073,241,79,0
/events/,18,378,0.047619047619047616,12.624338624338625,12,17,1,292.8333333333333,136,52,0
/secret-society-invitation-have-you-received-this-letter-what-does-it-mean/,18,557,0.03231597845601436,20.220825852782763,14,14,1,66.71428571428571,60,16,0
/programs/,16,944,0.01694915254237288,15.221398305084746,4,5,1,546.75,49,19,0
/whats-the-truth-about-the-neothink-society-separating-fact-from-fiction/,12,751,0.015978695073235686,12.154460719041278,8,8,1,189.625,46,15,0
/neothink-coaching-programs/,11,4645,0.0023681377825618944,3.3369214208826694,18,21,1,148.27777777777777,204,84,0
/how-the-neothink-movement-empowers-financial-independence/,10,293,0.034129692832764506,9.156996587030717,7,8,1,238,56,23,0
/how-the-neothink-secret-society-differs-from-other-secret-groups/,8,1168,0.00684931506849315,8.912671232876711,5,5,1,189.4,45,16,0
/blog/,5,6920,0.000722543352601156,5.016473988439306,5,10,1,158.4,165,79,0
/formula-cure-to-aging/,5,270,0.018518518518518517,8.262962962962963,10,14,1,203.7,70,32,0
/is-the-neothink-society-legit-everything-you-need-to-know/,5,769,0.006501950585175552,24.21326397919376,5,5,1,95.2,25,10,0
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society/,5,156,0.03205128205128205,23.102564102564102,2,3,1,47.5,9,3,0
/newsletter/,5,3580,0.0013966480446927375,4.228770949720671,19,34,1,46.68421052631579,158,68,0
/ascension-platform-for-business-and-personal-growth/,4,298,0.013422818791946308,23.456375838926174,5,8,1,105.6,34,15,0
/free/,4,296,0.013513513513513514,20.875,4,4,1,143.25,75,31,0
/how-to-join-neothink-society-secret-meetings/,4,92,0.043478260869565216,20.119565217391305,3,3,1,314,23,8,0
/neothink-mentality-a-new-way-to-look-at-life-and-work/,4,147,0.027210884353741496,8.551020408163264,3,3,1,145,11,3,0
/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society-neothink/,4,374,0.0106951871657754,27.90106951871658,6,6,1,310,38,13,0
/testimonials/,4,1832,0.002183406113537118,12.404475982532752,92,96,1,18.608695652173914,373,118,0
/books/,3,4413,0.0006798096532970768,3.4289598912304555,2,2,1,115.5,45,23,0
/mark-hamiltons-neothink-the-surprising-logic-behind-its-teachings/,3,168,0.017857142857142856,13.601190476190476,1,1,1,58,4,1,0
/resources/,3,393,0.007633587786259542,40.11450381679389,1,1,1,156,18,7,0
/what-people-get-wrong-about-neothink-university-and-whats-actually-true/,3,326,0.009202453987730062,20.99079754601227,3,3,1,38.666666666666664,10,3,0
/neothink-country/,2,362,0.0055248618784530384,3.685082872928177,2,2,1,60.5,14,5,0
/the-ancient-formula-for-wealth-and-influence-does-neothink-hold-the-answer/,2,8,0.25,3.5,1,1,1,0,5,4,0
/18-good-financial-habits-that-can-change-your-life/,1,8,0.125,10.375,0,0,0,0,0,0,0
/contact-form-submitted/,1,101,0.009900990099009901,56.13861386138614,0,0,0,0,0,0,0
/creating-success-stories-with-neothink-mastermind-group/,1,54,0.018518518518518517,15.925925925925926,2,2,1,159,7,2,0
/how-to-excel-at-work-33-practical-tips-for-professional-growth/,1,43,0.023255813953488372,14.488372093023257,1,3,1,59,18,7,0
/neothink-in-the-21st-century-how-to-navigate-todays-challenges/,1,21,0.047619047619047616,7.285714285714286,0,0,0,0,0,0,0
/secret-society-letters-are-they-just-selling-happiness/,1,35,0.02857142857142857,17.914285714285715,1,1,1,445,15,7,0
/7-ways-to-find-happiness-in-retirement/,0,2,0,1,0,0,0,0,0,0,0
/9-effective-steps-to-create-and-maintain-a-healthy-mindset-neothink/,0,5,0,37.2,0,0,0,0,0,0,0
/9-effective-steps-to-create-and-maintain-a-healthy-mindset/,0,5,0,1,0,0,0,0,0,0,0
