wp_id,content_type,title,slug,url,publish_date,yoast_title,yoast_meta,has_yoast_meta,indexation_status,traffic_status,priority,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position
N/A,Unknown,Not in WordPress,,https://neothink.com/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,2145,23154,9.26%,3.97
N/A,Unknown,Not in WordPress,about-neothink,https://neothink.com/about-neothink/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,199,10779,1.85%,3.23
N/A,Unknown,Not in WordPress,neothink-society-clearing-up-the-misunderstandings-about-the-secret-society,https://neothink.com/neothink-society-clearing-up-the-misunderstandings-about-the-secret-society/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,5,156,3.21%,23.1
N/A,Unknown,Not in WordPress,neothink-country,https://neothink.com/neothink-country/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,2,362,0.55%,3.69
N/A,Unknown,Not in WordPress,testimonial/the-neothink-society-knowledge-and,https://neothink.com/testimonial/the-neothink-society-knowledge-and/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,30,0%,44.6
N/A,Unknown,Not in WordPress,category/uncategorized/page/2,https://neothink.com/category/uncategorized/page/2/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,20,0%,3.95
N/A,Unknown,Not in WordPress,podcast/escape-the-matrix-now-mark-hamilton-2,https://neothink.com/podcast/escape-the-matrix-now-mark-hamilton-2/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,17,0%,5.65
N/A,Unknown,Not in WordPress,how-to-find-your-passion-in-life-and-career,https://neothink.com/how-to-find-your-passion-in-life-and-career/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,10,0%,76.9
N/A,Unknown,Not in WordPress,testimonial/i-am-using-the-tools,https://neothink.com/testimonial/i-am-using-the-tools/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,9,0%,16.89
N/A,Unknown,Not in WordPress,testimonial/i-was-so-fortunate-growing,https://neothink.com/testimonial/i-was-so-fortunate-growing/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,8,0%,31.88
N/A,Unknown,Not in WordPress,testimonial/mark-i-just-cant-believe,https://neothink.com/testimonial/mark-i-just-cant-believe/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,6,0%,42.17
N/A,Unknown,Not in WordPress,9-effective-steps-to-create-and-maintain-a-healthy-mindset,https://neothink.com/9-effective-steps-to-create-and-maintain-a-healthy-mindset/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,5,0%,1
N/A,Unknown,Not in WordPress,testimonial/hi-my-name-is-christian,https://neothink.com/testimonial/hi-my-name-is-christian/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,5,0%,14
N/A,Unknown,Not in WordPress,is-starting-over-at-50-too-late-for-success,https://neothink.com/is-starting-over-at-50-too-late-for-success/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,5,0%,44.6
N/A,Unknown,Not in WordPress,podcast/reprogram-your-mind-to-be-rich-in-1-hour-the-neothink-approach,https://neothink.com/podcast/reprogram-your-mind-to-be-rich-in-1-hour-the-neothink-approach/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,4,0%,2
N/A,Unknown,Not in WordPress,podcast/reprogram-your-mind-to-be-rich-in-1-hour-the-neothink-approach-2,https://neothink.com/podcast/reprogram-your-mind-to-be-rich-in-1-hour-the-neothink-approach-2/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,4,0%,4.5
N/A,Unknown,Not in WordPress,podcast/universal-wealth-health-and-peace-on-earth-2,https://neothink.com/podcast/universal-wealth-health-and-peace-on-earth-2/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,4,0%,7.5
N/A,Unknown,Not in WordPress,testimonial/i-received-back-in-the,https://neothink.com/testimonial/i-received-back-in-the/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,4,0%,16
N/A,Unknown,Not in WordPress,testimonial/so-far-i-can-say,https://neothink.com/testimonial/so-far-i-can-say/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,4,0%,24.25
N/A,Unknown,Not in WordPress,podcast/youre-being-manipulated-they-use-guilt-to-control-you-mark-hamilton,https://neothink.com/podcast/youre-being-manipulated-they-use-guilt-to-control-you-mark-hamilton/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,3,0%,6.33
N/A,Unknown,Not in WordPress,category/uncategorized/page/3,https://neothink.com/category/uncategorized/page/3/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,3,0%,7.33
N/A,Unknown,Not in WordPress,podcast/a-new-country-with-no-taxes-mark-hamilton,https://neothink.com/podcast/a-new-country-with-no-taxes-mark-hamilton/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,3,0%,8.33
N/A,Unknown,Not in WordPress,category/uncategorized/page/4,https://neothink.com/category/uncategorized/page/4/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,3,0%,17
N/A,Unknown,Not in WordPress,about-duplicate-494-new,https://neothink.com/about-duplicate-494-new/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,3,0%,37.67
N/A,Unknown,Not in WordPress,author/helpfulfox00gmail-com/page/3,https://neothink.com/author/helpfulfox00gmail-com/page/3/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,2,0%,1.5
N/A,Unknown,Not in WordPress,testimonial/my-very-special-thanks-to,https://neothink.com/testimonial/my-very-special-thanks-to/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,2,0%,52
N/A,Unknown,Not in WordPress,main/home.php,https://neo.neothink.com/main/home.php,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,1
N/A,Unknown,Not in WordPress,podcast/escape-the-matrix-now-mark-hamilton,https://neothink.com/podcast/escape-the-matrix-now-mark-hamilton/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,2
N/A,Unknown,Not in WordPress,podcast/are-we-the-illuminati-the-truth-behind-the-allegations-mh-explains,https://neothink.com/podcast/are-we-the-illuminati-the-truth-behind-the-allegations-mh-explains/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,8
N/A,Unknown,Not in WordPress,podcast/freeing-societys-hidden-geniuses-with-elon-musk,https://neothink.com/podcast/freeing-societys-hidden-geniuses-with-elon-musk/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,9
N/A,Unknown,Not in WordPress,podcast/the-future-of-humanity-everything-becomes-free,https://neothink.com/podcast/the-future-of-humanity-everything-becomes-free/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,9
N/A,Unknown,Not in WordPress,testimonial/20001,https://neothink.com/testimonial/20001/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,18
N/A,Unknown,Not in WordPress,podcast/the-secret-society-reveals-civilizations-only-hope-for-a-good-future,https://neothink.com/podcast/the-secret-society-reveals-civilizations-only-hope-for-a-good-future/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,20
N/A,Unknown,Not in WordPress,podcast/the-future-of-humanity-everything-becomes-free-2,https://neothink.com/podcast/the-future-of-humanity-everything-becomes-free-2/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,23
N/A,Unknown,Not in WordPress,testimonial/for-me-this-journey-with,https://neothink.com/testimonial/for-me-this-journey-with/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,32
N/A,Unknown,Not in WordPress,testimonial/im-new-to-neothink-and,https://neothink.com/testimonial/im-new-to-neothink-and/,Unknown,,,N/A,In GSC but not WordPress,Orphaned,INVESTIGATE,0,1,0%,33
